id,station_id
UZM00038413,38413
KZ000038423,38423
UZM00038427,38427
UZM00038457,38457
UZM00038462,38462
KG000038471,38471
KG000038474,38474
TX000038527,38527
UZM00038553,38553
UZM00038565,38565
UZM00038579,38579
UZM00038583,38583
TI000038599,38599
UZM00038611,38611
KG000038613,38613
KG000038615,38615
UZM00038618,38618
TX000038634,38630
TX000038641,38641
TX000038647,38647
TX000038656,38656
UZM00038683,38683
UZM00038685,38685
TX000038687,38687
TI000038713,38713
TI000038716,38716
KG000038871,38745
TX000038759,38759
TX000038763,38763
TX000038774,38774
TX000038799,38799
TX000038806,38806
UZM00038812,38812
TI000038847,38847
TI000038867,38867
TX000038880,38880
TX000038886,38886
TX000038895,38895
TX000038899,38899
TX000038911,38911
TX000038915,38915
UZM00038927,38927
TI000038933,38933
TI000038944,38944
TI000038947,38947
TI000038954,38954
TI000038966,38966
TX000038974,38974
TX000038987,38987
SY000040001,40001
SYE00147759,40005
SYE00147760,40007
SYM00040030,40030
SYE00147763,40055
SY000040061,40061
SYM00040080,40080
SYE00147766,40095
LEM00040101,40101
IS000002011,40176
IS000051690,40191
IS000009972,40199
JOM00040296,40296
JOM00040310,40310
SAM00040362,40362
SAM00040373,40373
SAM00040377,40377
SA000040438,40438
SAM00041114,40569
IRM00040708,40708
IRM00040718,40718
IRM00040736,40736
IR000040745,40745
IRM00040827,40827
IR000040841,40841
TI000038957,40918
AF000040930,40930
AFM00040948,40948
SAM00041036,41036
SAM00041055,41055
SAM00041061,41061
SAM00041114,41114
SAM00041128,41128
QAM00041170,41170
AE000041196,41196
AEM00041217,41217
MU000041288,41288
MUM00041304,41304
